trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.27075425951199406, 'e': 0.27075425951199406}",25,2,-12.36081441074296,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
131,False,"{'a': 0.2680467169168741, 'e': 0.2680467169168741}",25,11,-32.67777947998533,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.26536624974770534, 'e': 0.26536624974770534}",25,14,-77.88201777891838,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 2}",1
133,False,"{'a': 0.2627125872502283, 'e': 0.2627125872502283}",25,7,-17.41707520905384,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
134,False,"{'a': 0.26008546137772603, 'e': 0.26008546137772603}",25,0,-96.53586635603818,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
135,False,"{'a': 0.25748460676394874, 'e': 0.25748460676394874}",20,0,-84.72826848194747,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
136,False,"{'a': 0.2549097606963093, 'e': 0.2549097606963093}",20,0,-24.964860334851192,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.2523606630893462, 'e': 0.2523606630893462}",20,2,-39.8528632920884,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.2498370564584527, 'e': 0.2498370564584527}",25,15,6.087004850282199,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.24733868589386818, 'e': 0.24733868589386818}",25,15,3.100039983265961,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.24486529903492948, 'e': 0.24486529903492948}",25,13,7.422258184954419,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.2424166460445802, 'e': 0.2424166460445802}",20,11,3.4299073196695273,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.2399924795841344, 'e': 0.2399924795841344}",20,6,8.055995290735869,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
